MOVE_TYPE,MOVE_TYPE_DETAIL,FROM_LOCATION,TO_LOCATION,EMP_ID,START_TIME,END_TIME,GOAL
REPLEN OVERFLOW,REPLEN,C21-355B,C21-34512,S938,20180722102455,20180722102455,20180722102455
REPLEN,REPLEN,A19-3205,A18-325A,H3276,20180722102506,20180722102506,20180722102506
REPLEN,REPLEN,B07-2151,B07-250A,D5702,20180722102518,20180722102518,20180722102518
REPLEN OVERFLOW,REPLEN,C04-165B,C04-2501,J7124,20180722102549,20180722102549,20180722102549
REPLEN,REPLEN,A19-2854,A20-280A,H3276,20180722102635,20180722102635,20180722102635
REPLEN,REPLEN,A19-2851,A20-280A,H3276,20180722102732,20180722102732,20180722102732
REPLEN,REPLEN,B08-1403,B08-125A,D5702,20180722102732,20180722102732,20180722102732
REPLEN,REPLEN,C21-4254,C21-405B,S938,20180722102751,20180722102751,20180722102751
REPLEN OVERFLOW,REPLEN,C21-405B,C21-40011,S938,20180722102757,20180722102757,20180722102757
REPLEN,REPLEN,B06-1101,B07-215A,T6724,20180722102848,20180722102848,20180722102848
REPLEN OVERFLOW,REPLEN,B07-215A,B07-2151,T6724,20180722102854,20180722102854,20180722102854
REPLEN,REPLEN,C06-1452,C07-120C1,J7124,20180722102925,20180722102925,20180722102925
REPLEN,REPLEN,A19-2051,A20-280A,H3276,20180722102934,20180722102934,20180722102934
REPLEN,REPLEN,B07-1303,B07-120B,D5702,20180722103003,20180722103003,20180722103003
REPLEN OVERFLOW,REPLEN,C07-120C1,C06-1452,J7124,20180722103025,20180722103025,20180722103025
REPLEN OVERFLOW,REPLEN,B07-120B,B07-1303,D5702,20180722103038,20180722103038,20180722103038
REPLEN,REPLEN,C21-41511,C21-415B,S938,20180722103039,20180722103039,20180722103039
REPLEN OVERFLOW,REPLEN,C21-415B,C21-39011,S938,20180722103054,20180722103054,20180722103054
REPLEN,REPLEN,A07-4854,A10-195A,B6580,20180722103105,20180722103105,20180722103105
REPLEN,REPLEN,A90-4001,A20-200A,H3276,20180722103122,20180722103122,20180722103122
REPLEN,REPLEN,B01-3954,B01-390A,T6724,20180722103214,20180722103214,20180722103214
REPLEN,REPLEN,C21-4105,C21-435B,S938,20180722103322,20180722103322,20180722103322
REPLEN OVERFLOW,REPLEN,C21-435B,C21-4105,S938,20180722103352,20180722103352,20180722103352
REPLEN,REPLEN,A09-1152,A09-165A,B6580,20180722103424,20180722103424,20180722103424
REPLEN,REPLEN,C07-1052,C08-430B8,J7124,20180722103437,20180722103437,20180722103437
REPLEN,REPLEN,B09-2803,B09-270A,T6724,20180722103503,20180722103503,20180722103503
REPLEN,REPLEN,B07-4004,B07-410A,D5702,20180722103530,20180722103530,20180722103530
REPLEN OVERFLOW,REPLEN,C08-430B8,C07-1052,J7124,20180722103548,20180722103548,20180722103548
REPLEN,REPLEN,C95-6903,C95-770A,S938,20180722103556,20180722103556,20180722103556
REPLEN OVERFLOW,REPLEN,B07-410A,B07-4001,D5702,20180722103612,20180722103612,20180722103612
REPLEN,REPLEN,A20-1652,A20-160A,H3276,20180722103638,20180722103638,20180722103638
REPLEN,REPLEN,A01-1603,A01-160B,B6580,20180722103708,20180722103708,20180722103708
REPLEN,REPLEN,A19-1755,A20-160A,H3276,20180722103833,20180722103833,20180722103833
REPLEN,REPLEN,A20-3102,A20-310B,D5702,20180722103858,20180722103858,20180722103858
REPLEN,REPLEN,C16-4052,C95-770A,S938,20180722103923,20180722103923,20180722103923
REPLEN,REPLEN,C14-4201,C95-270A,J7124,20180722103953,20180722103953,20180722103953
REPLEN,REPLEN,A11-4552,A11-310A,B6580,20180722104029,20180722104029,20180722104029
REPLEN,REPLEN,A20-1654,A20-160A,H3276,20180722104054,20180722104054,20180722104054
REPLEN,REPLEN,C95-7002,C95-760B,S938,20180722104233,20180722104233,20180722104233
REPLEN OVERFLOW,REPLEN,C95-760B,C95-7401,S938,20180722104256,20180722104256,20180722104256
REPLEN,REPLEN,B02-1001,B02-115B,T6724,20180722104311,20180722104311,20180722104311
REPLEN,REPLEN,A05-2903,A05-450A,D5702,20180722104316,20180722104316,20180722104316
REPLEN OVERFLOW,REPLEN,A05-450A,A05-2903,D5702,20180722104343,20180722104343,20180722104343
REPLEN,REPLEN,C08-4451,C08-320A,J7124,20180722104354,20180722104354,20180722104354
REPLEN,REPLEN,C09-3301,C05-215B6,B6580,20180722104449,20180722104449,20180722104449
REPLEN,REPLEN,C95-5203,C95-730A,S938,20180722104507,20180722104507,20180722104507
REPLEN OVERFLOW,REPLEN,B02-115B,B02-1251,T6724,20180722104622,20180722104622,20180722104622
REPLEN,REPLEN,C09-1102,C10-190B5,J7124,20180722104647,20180722104647,20180722104647
REPLEN,REPLEN,A03-20511,A04-190C7,D5702,20180722104655,20180722104655,20180722104655
REPLEN OVERFLOW,REPLEN,A04-190C7,A03-20511,D5702,20180722104724,20180722104724,20180722104724
REPLEN OVERFLOW,REPLEN,C10-190B5,C09-2351,J7124,20180722104732,20180722104732,20180722104732
REPLEN,REPLEN,A15-1402,A16-260A,H3276,20180722104733,20180722104733,20180722104733
REPLEN,REPLEN,C17-43513,C18-430B5,B6580,20180722104738,20180722104738,20180722104738
REPLEN OVERFLOW,REPLEN,C18-430B5,C17-43513,B6580,20180722104759,20180722104759,20180722104759
REPLEN,REPLEN,C08-3801,C95-730A,S938,20180722104833,20180722104833,20180722104833
REPLEN OVERFLOW,REPLEN,A16-260A,A15-1402,H3276,20180722104834,20180722104834,20180722104834
REPLEN,REPLEN,A03-3152,A04-220C3,D5702,20180722104917,20180722104917,20180722104917
REPLEN,REPLEN,C20-35011,C19-395C7,B6580,20180722104932,20180722104932,20180722104932
REPLEN OVERFLOW,REPLEN,A04-220C3,A03-3152,D5702,20180722104939,20180722104939,20180722104939
REPLEN OVERFLOW,REPLEN,C19-395C7,C20-35011,B6580,20180722104951,20180722104951,20180722104951
REPLEN,REPLEN,B95-1301,B07-430A,T6724,20180722105023,20180722105023,20180722105023
REPLEN,REPLEN,C95-5701,C95-540A,B6580,20180722105050,20180722105050,20180722105050
REPLEN,REPLEN,C19-3502,C19-290A,J7124,20180722105153,20180722105153,20180722105153
REPLEN,REPLEN,A20-2701,A20-100A,H3276,20180722105243,20180722105243,20180722105243
REPLEN,REPLEN,C90-9153,C90-925A,S938,20180722105243,20180722105243,20180722105243
REPLEN,REPLEN,C06-1151,C90-205A,B6580,20180722105244,20180722105244,20180722105244
REPLEN,REPLEN,A95-4303,A95-520A,D5702,20180722105300,20180722105300,20180722105300
REPLEN,REPLEN,B04-4203,B04-410B,T6724,20180722105303,20180722105303,20180722105303
REPLEN OVERFLOW,REPLEN,A95-520A,A95-5501,D5702,20180722105326,20180722105326,20180722105326
REPLEN OVERFLOW,REPLEN,B04-410B,B04-4101,T6724,20180722105353,20180722105353,20180722105353
REPLEN,REPLEN,A09-4303,A09-410B,D5702,20180722105455,20180722105455,20180722105455
REPLEN,REPLEN,C06-2303,C05-225D3,B6580,20180722105521,20180722105521,20180722105521
REPLEN,REPLEN,C18-3451,C18-295A,J7124,20180722105527,20180722105527,20180722105527
REPLEN OVERFLOW,REPLEN,C05-225D3,C06-2303,B6580,20180722105620,20180722105620,20180722105620
REPLEN,REPLEN,C90-7751,C90-915A,S938,20180722105620,20180722105620,20180722105620
REPLEN,REPLEN,A07-3304,A10-500A,D5702,20180722105714,20180722105714,20180722105714
REPLEN,REPLEN,A16-2954,A16-145A,H3276,20180722105715,20180722105715,20180722105715
REPLEN OVERFLOW,REPLEN,A10-500A,A10-47012,D5702,20180722105737,20180722105737,20180722105737
REPLEN,REPLEN,B95-5705,B02-325A,T6724,20180722105807,20180722105807,20180722105807
REPLEN OVERFLOW,REPLEN,A16-145A,A16-2401,H3276,20180722105832,20180722105832,20180722105832
REPLEN,REPLEN,C18-2102,C18-250A,B6580,20180722105848,20180722105848,20180722105848
REPLEN,REPLEN,A01-3454,A08-380C1,D5702,20180722110009,20180722110009,20180722110009
REPLEN,REPLEN,C17-11513,C16-195C5,B6580,20180722110011,20180722110011,20180722110011
REPLEN,REPLEN,C06-1603,C05-165D2,J7124,20180722110021,20180722110021,20180722110021
REPLEN OVERFLOW,REPLEN,C16-195C5,C17-1902,B6580,20180722110032,20180722110032,20180722110032
REPLEN OVERFLOW,REPLEN,A08-380C1,A07-51013,D5702,20180722110045,20180722110045,20180722110045
REPLEN,REPLEN,C90-9153,C90-915A,S938,20180722110047,20180722110047,20180722110047
REPLEN OVERFLOW,REPLEN,C05-165D2,C06-1151,J7124,20180722110126,20180722110126,20180722110126
REPLEN,REPLEN,B95-2904,B95-260A,T6724,20180722110133,20180722110133,20180722110133
REPLEN,REPLEN,C20-1052,C20-100A,S938,20180722110218,20180722110218,20180722110218
REPLEN OVERFLOW,REPLEN,B95-260A,B95-2601,T6724,20180722110219,20180722110219,20180722110219
REPLEN,REPLEN,C07-3654,C07-335A,B6580,20180722110225,20180722110225,20180722110225
REPLEN,REPLEN,A12-13512,A13-100C4,H3276,20180722110309,20180722110309,20180722110309
REPLEN,REPLEN,A07-22012,A08-220C3,D5702,20180722110338,20180722110338,20180722110338
REPLEN OVERFLOW,REPLEN,A08-220C3,A07-22012,D5702,20180722110356,20180722110356,20180722110356
REPLEN,REPLEN,B02-2103,B02-285A,T6724,20180722110416,20180722110416,20180722110416
REPLEN,REPLEN,C20-1054,C20-100A,S938,20180722110433,20180722110433,20180722110433
REPLEN,REPLEN,A01-1653,A01-165B,D5702,20180722110559,20180722110559,20180722110559
REPLEN,REPLEN,A15-35011,A90-260B1,H3276,20180722110608,20180722110608,20180722110608
REPLEN,REPLEN,C13-4555,C13-455A,B6580,20180722110627,20180722110627,20180722110627
REPLEN OVERFLOW,REPLEN,A90-260B1,A15-35011,H3276,20180722110713,20180722110713,20180722110713
REPLEN,REPLEN,C09-4303,C08-435C6,J7124,20180722110732,20180722110732,20180722110732
REPLEN,REPLEN,A01-3253,A01-335B,D5702,20180722110751,20180722110751,20180722110751
REPLEN,REPLEN,B07-1604,B07-300A,T6724,20180722110803,20180722110803,20180722110803
REPLEN,REPLEN,C20-1605,C20-160A,S938,20180722110806,20180722110806,20180722110806
REPLEN OVERFLOW,REPLEN,C20-160A,C20-2402,S938,20180722110844,20180722110844,20180722110844
REPLEN OVERFLOW,REPLEN,B07-300A,B07-3001,T6724,20180722110907,20180722110907,20180722110907
REPLEN OVERFLOW,REPLEN,C08-435C6,C95-2601,J7124,20180722110912,20180722110912,20180722110912
REPLEN,REPLEN,A02-3455,A02-325A,D5702,20180722111000,20180722111000,20180722111000
REPLEN,REPLEN,A17-3501,A90-340A,H3276,20180722111054,20180722111054,20180722111054
REPLEN,REPLEN,C20-2104,C20-200A,S938,20180722111104,20180722111104,20180722111104
REPLEN,REPLEN,B95-5603,B95-500A,T6724,20180722111130,20180722111130,20180722111130
REPLEN OVERFLOW,REPLEN,C20-200A,C20-1603,S938,20180722111134,20180722111134,20180722111134
REPLEN,REPLEN,A03-5005,A03-470A,D5702,20180722111151,20180722111151,20180722111151
REPLEN OVERFLOW,REPLEN,B95-500A,B95-4801,T6724,20180722111154,20180722111154,20180722111154
REPLEN,REPLEN,A15-1654,A20-315A,H3276,20180722111405,20180722111405,20180722111405
REPLEN,REPLEN,A04-4002,A04-385A,D5702,20180722111409,20180722111409,20180722111409
PUTAWAY,PUTAWAY,DR-D24,A18-2951,B6580,20180722111437,20180722111437,20180722111437
REPLEN,REPLEN,B03-3053,B03-305B,T6724,20180722111501,20180722111501,20180722111501
REPLEN,REPLEN,C20-3552,C20-445B,J7124,20180722111506,20180722111506,20180722111506
REPLEN,REPLEN,C20-3503,C20-215A,S938,20180722111512,20180722111512,20180722111512
REPLEN,REPLEN,A95-1301,A03-515A,D5702,20180722111651,20180722111651,20180722111651
REPLEN OVERFLOW,REPLEN,C20-445B,C95-7002,J7124,20180722111721,20180722111721,20180722111721
REPLEN,REPLEN,B08-4155,B07-400A,T6724,20180722111809,20180722111809,20180722111809
REPLEN,REPLEN,C20-1852,C20-265B,S938,20180722111840,20180722111840,20180722111840
PUTAWAY,PUTAWAY,DR-D24,A18-2954,B6580,20180722111842,20180722111842,20180722111842
PUTAWAY,PUTAWAY,DR-D24,A18-3252,B6580,20180722112101,20180722112101,20180722112101
REPLEN,REPLEN,C20-2953,C20-275B,S938,20180722112115,20180722112115,20180722112115
REPLEN,REPLEN,C07-4454,C07-375A,J7124,20180722112144,20180722112144,20180722112144
REPLEN,REPLEN,B11-3501,B11-400A,T6724,20180722112213,20180722112213,20180722112213
REPLEN,REPLEN,C20-45511,C20-285B,S938,20180722112331,20180722112331,20180722112331
REPLEN,REPLEN,A03-2603,A03-435A,D5702,20180722112332,20180722112332,20180722112332
REPLEN OVERFLOW,REPLEN,C20-285B,C20-45511,S938,20180722112354,20180722112354,20180722112354
PUTAWAY,PUTAWAY,A03-2603,A03-3352,D5702,20180722112448,20180722112448,20180722112448
PUTAWAY,PUTAWAY,A03-2603,A03-3853,D5702,20180722112515,20180722112515,20180722112515
REPLEN,REPLEN,C17-4003,C16-395C5,J7124,20180722112548,20180722112548,20180722112548
REPLEN,REPLEN,B09-2552,B09-275A,T6724,20180722112600,20180722112600,20180722112600
REPLEN,REPLEN,C20-2952,C20-295A,S938,20180722112635,20180722112635,20180722112635
REPLEN OVERFLOW,REPLEN,C16-395C5,C17-4003,J7124,20180722112640,20180722112640,20180722112640
REPLEN,REPLEN,B10-1251,B10-110B,T6724,20180722112648,20180722112648,20180722112648
REPLEN,REPLEN,A06-3602,A06-215A,D5702,20180722112649,20180722112649,20180722112649
REPLEN OVERFLOW,REPLEN,B10-110B,B10-1251,T6724,20180722112702,20180722112702,20180722112702
REPLEN OVERFLOW,REPLEN,A06-215A,A06-3602,D5702,20180722112713,20180722112713,20180722112713
REPLEN,REPLEN,C18-4502,C20-295A,S938,20180722112910,20180722112910,20180722112910
REPLEN,REPLEN,A03-3455,A03-375A,D5702,20180722112918,20180722112918,20180722112918
REPLEN OVERFLOW,REPLEN,C20-295A,C20-2104,S938,20180722112946,20180722112946,20180722112946
REPLEN OVERFLOW,REPLEN,A03-375A,A03-2603,D5702,20180722112947,20180722112947,20180722112947
REPLEN,REPLEN,C13-1005,C13-120A,J7124,20180722113045,20180722113045,20180722113045
REPLEN,REPLEN,B11-1953,B11-145B,T6724,20180722113046,20180722113046,20180722113046
REPLEN OVERFLOW,REPLEN,B11-145B,B11-1202,T6724,20180722113204,20180722113204,20180722113204
PUTAWAY,PUTAWAY,DR-D24,A19-1251,B6580,20180722113218,20180722113218,20180722113218
REPLEN,REPLEN,C20-1554,C20-300A,S938,20180722113220,20180722113220,20180722113220
REPLEN,REPLEN,A03-2452,A03-100A,D5702,20180722113221,20180722113221,20180722113221
REPLEN,REPLEN,C13-17011,C18-220B2,J7124,20180722113412,20180722113412,20180722113412
REPLEN,REPLEN,A14-3453,A14-220A,H3276,20180722113413,20180722113413,20180722113413
PUTAWAY,PUTAWAY,DR-D24,A19-2851,D5702,20180722113439,20180722113439,20180722113439
REPLEN OVERFLOW,REPLEN,C18-220B2,C17-29012,J7124,20180722113503,20180722113503,20180722113503
REPLEN,REPLEN,B02-4454,B02-450B,T6724,20180722113519,20180722113519,20180722113519
REPLEN,REPLEN,C20-1953,C20-305B,S938,20180722113533,20180722113533,20180722113533
REPLEN OVERFLOW,REPLEN,C20-305B,C20-1953,S938,20180722113608,20180722113608,20180722113608
REPLEN OVERFLOW,REPLEN,B02-450B,B02-4001,T6724,20180722113622,20180722113622,20180722113622
PUTAWAY,PUTAWAY,DR-D24,A19-3352,B6580,20180722113650,20180722113650,20180722113650
REPLEN,REPLEN,C20-35512,C20-355B,S938,20180722113830,20180722113830,20180722113830
REPLEN,REPLEN,B04-3401,B04-340B,T6724,20180722113909,20180722113909,20180722113909
PUTAWAY,PUTAWAY,DR-D24,A19-1351,B6580,20180722113939,20180722113939,20180722113939
REPLEN,REPLEN,C12-3701,C12-270C7,J7124,20180722114005,20180722114005,20180722114005
REPLEN,REPLEN,A07-1403,A03-450A,M3238,20180722114118,20180722114118,20180722114118
REPLEN OVERFLOW,REPLEN,C12-270C7,C12-3701,J7124,20180722114118,20180722114118,20180722114118
PUTAWAY,PUTAWAY,DR-D24,A19-1601,B6580,20180722114127,20180722114127,20180722114127
REPLEN,REPLEN,B95-5401,B95-530A,T6724,20180722114220,20180722114220,20180722114220
REPLEN,REPLEN,A95-2204,A03-330A,C5681,20180722114404,20180722114404,20180722114404
REPLEN,REPLEN,C17-1003,C18-100C2,M4225,20180722114407,20180722114407,20180722114407
REPLEN,REPLEN,C20-2954,C19-355C5,J7124,20180722114422,20180722114422,20180722114422
REPLEN,REPLEN,B03-1101,B03-130A,T6724,20180722114424,20180722114424,20180722114424
REPLEN OVERFLOW,REPLEN,C18-100C2,C17-11513,M4225,20180722114428,20180722114428,20180722114428
PUTAWAY,PUTAWAY,DR-D24,A19-2152,D5702,20180722114434,20180722114434,20180722114434
REPLEN,REPLEN,A06-4453,A18-300A,H3276,20180722114514,20180722114514,20180722114514
REPLEN OVERFLOW,REPLEN,C19-355C5,C20-3552,J7124,20180722114514,20180722114514,20180722114514
PUTAWAY,PUTAWAY,DR-D24,A19-2052,B6580,20180722114514,20180722114514,20180722114514
REPLEN,REPLEN,A07-2053,A08-110B7,M3238,20180722114555,20180722114555,20180722114555
PUTAWAY,PUTAWAY,DR-D24,A18-3251,D5702,20180722114558,20180722114558,20180722114558
REPLEN OVERFLOW,REPLEN,A08-110B7,A07-2053,M3238,20180722114615,20180722114615,20180722114615
REPLEN,REPLEN,A05-3202,A05-330B,C5681,20180722114640,20180722114640,20180722114640
PUTAWAY,PUTAWAY,DR-D24,A19-2852,B6580,20180722114725,20180722114725,20180722114725
REPLEN,REPLEN,B03-2754,B03-275A,T6724,20180722114735,20180722114735,20180722114735
REPLEN OVERFLOW,REPLEN,A18-300A,A17-3501,H3276,20180722114738,20180722114738,20180722114738
REPLEN,REPLEN,A07-26013,A08-350B6,M3238,20180722114756,20180722114756,20180722114756
REPLEN OVERFLOW,REPLEN,A08-350B6,A07-26013,M3238,20180722114808,20180722114808,20180722114808
REPLEN,REPLEN,C08-1654,C08-255A,J7124,20180722114838,20180722114838,20180722114838
REPLEN,REPLEN,B02-3903,B01-435A,T6724,20180722115102,20180722115102,20180722115102
REPLEN,REPLEN,C19-28011,C18-265B4,M4225,20180722115110,20180722115110,20180722115110
PUTAWAY,PUTAWAY,DR-D24,A19-2154,B6580,20180722115110,20180722115110,20180722115110
REPLEN OVERFLOW,REPLEN,C18-265B4,C19-28011,M4225,20180722115128,20180722115128,20180722115128
PUTAWAY,PUTAWAY,DR-D24,A19-2854,D5702,20180722115136,20180722115136,20180722115136
REPLEN,REPLEN,C16-3203,C16-230A,J7124,20180722115209,20180722115209,20180722115209
PUTAWAY,PUTAWAY,DR-D24,A19-1751,B6580,20180722115322,20180722115322,20180722115322
REPLEN,REPLEN,B05-1855,B05-195A,T6724,20180722115325,20180722115325,20180722115325
PUTAWAY,PUTAWAY,DR-D23,A19-2951,D5702,20180722115337,20180722115337,20180722115337
REPLEN,REPLEN,A06-4653,A16-210A,H3276,20180722115341,20180722115341,20180722115341
REPLEN OVERFLOW,REPLEN,B05-195A,B05-1701,T6724,20180722115355,20180722115355,20180722115355
REPLEN,REPLEN,C19-1353,C19-125A,M4225,20180722115439,20180722115439,20180722115439
REPLEN,REPLEN,A17-2452,A17-210A,H3276,20180722115526,20180722115526,20180722115526
PUTAWAY,PUTAWAY,DR-D24,A19-1602,B6580,20180722115610,20180722115610,20180722115610
REPLEN,REPLEN,C90-5551,C90-545A,J7124,20180722115624,20180722115624,20180722115624
REPLEN,REPLEN,C14-1605,C14-120A,M4225,20180722115759,20180722115759,20180722115759
REPLEN,REPLEN,A08-4003,A17-210A,H3276,20180722120046,20180722120046,20180722120046
REPLEN,REPLEN,C06-2053,C07-260C2,M4225,20180722120056,20180722120056,20180722120056
REPLEN OVERFLOW,REPLEN,C07-260C2,C06-1151,M4225,20180722120125,20180722120125,20180722120125
REPLEN,REPLEN,C18-2055,C90-765A,J7124,20180722120212,20180722120212,20180722120212
PUTAWAY,PUTAWAY,DR-D24,A19-1651,W4741,20180722120253,20180722120253,20180722120253
REPLEN OVERFLOW,REPLEN,C90-765A,C18-2451,J7124,20180722120259,20180722120259,20180722120259
REPLEN,REPLEN,A14-27513,A15-220B2,H3276,20180722120302,20180722120302,20180722120302
REPLEN,REPLEN,C10-3102,C12-420C2,M4225,20180722120330,20180722120330,20180722120330
REPLEN OVERFLOW,REPLEN,C12-420C2,C11-3101,M4225,20180722120358,20180722120358,20180722120358
REPLEN,REPLEN,A09-25013,A10-260B2,K7123,20180722120423,20180722120423,20180722120423
PUTAWAY,PUTAWAY,DR-D23,A19-3301,W4741,20180722120445,20180722120445,20180722120445
REPLEN OVERFLOW,REPLEN,A10-260B2,A09-25013,K7123,20180722120451,20180722120451,20180722120451
REPLEN,REPLEN,A12-2752,A13-140C3,H3276,20180722120541,20180722120541,20180722120541
REPLEN,REPLEN,C15-4202,C16-420C3,M4225,20180722120556,20180722120556,20180722120556
REPLEN OVERFLOW,REPLEN,C16-420C3,C15-4202,M4225,20180722120621,20180722120621,20180722120621
REPLEN OVERFLOW,REPLEN,A13-140C3,A12-1853,H3276,20180722120623,20180722120623,20180722120623
PUTAWAY,PUTAWAY,DR-D23,A19-1752,W4741,20180722120639,20180722120639,20180722120639
REPLEN,REPLEN,C16-1905,C16-220A,J7124,20180722120715,20180722120715,20180722120715
REPLEN,REPLEN,A14-1302,A08-270C8,K7123,20180722120746,20180722120746,20180722120746
REPLEN OVERFLOW,REPLEN,C16-220A,C16-2651,J7124,20180722120752,20180722120752,20180722120752
REPLEN,REPLEN,C17-2203,C16-195C6,M4225,20180722120811,20180722120811,20180722120811
REPLEN,REPLEN,A13-3652,A90-110B6,H3276,20180722120813,20180722120813,20180722120813
REPLEN OVERFLOW,REPLEN,A08-270C8,A08-4003,K7123,20180722120830,20180722120830,20180722120830
PUTAWAY,PUTAWAY,DR-D23,A19-1652,W4741,20180722120836,20180722120836,20180722120836
REPLEN OVERFLOW,REPLEN,C16-195C6,C17-2203,M4225,20180722120846,20180722120846,20180722120846
REPLEN OVERFLOW,REPLEN,A90-110B6,A13-3652,H3276,20180722120850,20180722120850,20180722120850
REPLEN,REPLEN,A07-4152,A08-420C1,S7299,20180722120943,20180722120943,20180722120943
REPLEN,REPLEN,A08-31011,A08-320B,K7123,20180722121000,20180722121000,20180722121000
REPLEN OVERFLOW,REPLEN,A08-420C1,A07-4152,S7299,20180722121009,20180722121009,20180722121009
REPLEN,REPLEN,C19-2552,C19-230A,M4225,20180722121018,20180722121018,20180722121018
REPLEN,REPLEN,A04-1001,A06-345C1,T7444,20180722121020,20180722121020,20180722121020
PUTAWAY,PUTAWAY,DR-D23,A19-1654,W4741,20180722121029,20180722121029,20180722121029
REPLEN OVERFLOW,REPLEN,A06-345C1,A04-1001,T7444,20180722121110,20180722121110,20180722121110
REPLEN,REPLEN,A05-36012,A04-355C6,S7299,20180722121151,20180722121151,20180722121151
REPLEN,REPLEN,C19-41511,C19-265B1,M4225,20180722121158,20180722121158,20180722121158
REPLEN OVERFLOW,REPLEN,A04-355C6,A05-36012,S7299,20180722121217,20180722121217,20180722121217
REPLEN,REPLEN,A07-53511,A95-350B,K7123,20180722121221,20180722121221,20180722121221
PUTAWAY,PUTAWAY,DR-D23,A19-2952,W4741,20180722121226,20180722121226,20180722121226
REPLEN OVERFLOW,REPLEN,C19-265B1,C20-2953,M4225,20180722121230,20180722121230,20180722121230
REPLEN,REPLEN,C16-1753,C16-135A,J7124,20180722121249,20180722121249,20180722121249
REPLEN,REPLEN,A21-3401,A20-195A,H3276,20180722121257,20180722121257,20180722121257
REPLEN,REPLEN,A07-52013,A06-515C7,T7444,20180722121300,20180722121300,20180722121300
REPLEN,REPLEN,C20-4254,C19-385C1,M4225,20180722121425,20180722121425,20180722121425
REPLEN OVERFLOW,REPLEN,C19-385C1,C20-3503,M4225,20180722121454,20180722121454,20180722121454
REPLEN,REPLEN,DR-D23,A19-335A,W4741,20180722121456,20180722121456,20180722121456
REPLEN,REPLEN,A06-4905,A02-100B,S7299,20180722121520,20180722121520,20180722121520
REPLEN,REPLEN,A09-42012,A08-425B1,T7444,20180722121527,20180722121527,20180722121527
