MOVE_TYPE,MOVE_TYPE_DETAIL,FROM_LOCATION,TO_LOCATION,EMP_ID,START_TIME,END_TIME,GOAL
REPLEN OVERFLOW,PUTAWAY,A1Y-L-1032-0-84,A7-135-L-1416-2292-0,Emp-2,20180826181308,20180826181908,20180826181808
REPLEN,SLOT CHANGE,A3-184-L-504-2880-48,A7-216-R-1416-3384-0,Emp-5,20180826181435,20180826182235,20180826182335
PUTAWAY,SLAMS DUNK,A1Y-L-1656-0-84,A3-195-L-504-3048-0,Emp-6,20180826181602,20180826182302,20180826182302
PUTAWAY,SLOT CHANGE,A1-62-R-48-1320-60,A4-20-L-732-732-0,Emp-1,20180826181729,20180826182429,20180826182629
REPLEN,SLOT CHANGE,A9-9-R-1872-528-0,A2-57-R-276-1248-0,Emp-2,20180826181856,20180826181956,20180826182456
REPLEN,PUTAWAY,A1Y-L-1992-0-60,A6-47-L-1188-1116-0,Emp-1,20180826182023,20180826182823,20180826182523
REPLEN,REPLEN,A1Y-L-852-0-0,A6-124-L-1188-2148-60,Emp-7,20180826182150,20180826183050,20180826183050
PUTAWAY,SLAMS DUNK,A3-199-L-504-3108-0,A10-108-R-2100-1932-0,Emp-1,20180826182317,20180826183317,20180826183017
MOVE TO DOOR,PUTAWAY,A9-58-L-1872-1272-0,DR-001,Emp-8,20180826182444,20180826182544,20180826183444
REPLEN OVERFLOW,PUTAWAY,A6-202-R-1188-3156-84,A9-76-R-1872-1512-48,Emp-6,20180826182611,20180826183211,20180826183411
REPLEN,SLOT CHANGE,A1-122-R-48-2124-60,A4-199-L-732-3108-36,Emp-9,20180826182738,20180826183338,20180826183338
PUTAWAY,SLAMS DUNK,A3-191-R-504-2988-0,A10-162-R-2100-2616-84,Emp-6,20180826182905,20180826183905,20180826183405
MOVE TO DOOR,SLOT CHANGE,A9-216-R-1872-3384-0,DR-001,Emp-8,20180826183032,20180826183532,20180826183932
MOVE TO DOOR,REPLEN,A8-157-R-1644-2556-0,DR-001,Emp-9,20180826183159,20180826184059,20180826183659
RETURNS PUTAWAY,RETURNS PUTAWAY,A4-104-L-732-1872-0,A7-209-L-1416-3276-0,Emp-6,20180826183326,20180826184226,20180826184126
REPLEN,PUTAWAY,A6-22-R-1188-780-0,A5-12-L-960-588-0,Emp-5,20180826183453,20180826183553,20180826184153
REPLEN OVERFLOW,SLOT CHANGE,A4-121-L-732-2100-60,A1-154-R-48-2520-0,Emp-5,20180826183620,20180826183720,20180826184520
PUTAWAY,REPLEN,A9-35-R-1872-948-0,A9-52-R-1872-1176-0,Emp-10,20180826183747,20180826184347,20180826184647
REPLEN,SLAMS DUNK,A6-52-L-1188-1176-60,A7-29-R-1416-876-0,Emp-3,20180826183914,20180826184414,20180826184714
MOVE TO DOOR,SLOT CHANGE,A9-199-L-1872-3108-0,DR-001,Emp-8,20180826184041,20180826184241,20180826184941
REPLEN OVERFLOW,SLOT CHANGE,A11-4-L-2328-408-60,A7-93-R-1416-1740-0,Emp-10,20180826184208,20180826184408,20180826185108
REPLEN,SLAMS DUNK,A1Y-L-2112-0-84,A11-4-L-2328-408-0,Emp-8,20180826184335,20180826185335,20180826185235
REPLEN OVERFLOW,PUTAWAY,A4-216-R-732-3384-24,A4-32-L-732-912-60,Emp-4,20180826184502,20180826185202,20180826185002
RETURNS PUTAWAY,RETURNS PUTAWAY,A6-42-R-1188-1056-0,A9-199-R-1872-3108-0,Emp-9,20180826184629,20180826185229,20180826185629
PUTAWAY,SLOT CHANGE,A2-23-L-276-792-60,A7-42-R-1416-1056-60,Emp-10,20180826184756,20180826185456,20180826185356
RETURNS PUTAWAY,RETURNS PUTAWAY,A1Y-L-1944-0-0,A1-145-L-48-2412-0,Emp-5,20180826184923,20180826185523,20180826185923
REPLEN,SLOT CHANGE,A9-113-L-1872-2004-0,A1Y-L-972-0-60,Emp-6,20180826185050,20180826185450,20180826190050
MOVE TO DOOR,PUTAWAY,A3-9-L-504-528-0,DR-001,Emp-5,20180826185217,20180826185517,20180826190217
MOVE TO DOOR,PUTAWAY,A7-55-R-1416-1224-0,DR-001,Emp-6,20180826185344,20180826185644,20180826190244
PUTAWAY,SLAMS DUNK,A3-130-R-504-2232-0,A7-195-R-1416-3048-48,Emp-8,20180826185511,20180826185811,20180826190411
REPLEN OVERFLOW,SLOT CHANGE,A3-213-L-504-3336-84,A7-6-R-1416-468-0,Emp-7,20180826185638,20180826185838,20180826190338
REPLEN,REPLEN,A3-188-L-504-2928-84,A7-219-R-1416-3444-48,Emp-10,20180826185805,20180826190605,20180826190305
PUTAWAY,SLAMS DUNK,A8-57-R-1644-1248-60,A10-87-R-2100-1644-0,Emp-10,20180826185932,20180826190732,20180826190532
MOVE TO DOOR,REPLEN,A2-20-L-276-732-60,DR-001,Emp-9,20180826190059,20180826190959,20180826190659
REPLEN OVERFLOW,SLOT CHANGE,A7-150-R-1416-2472-0,A4-121-L-732-2100-0,Emp-6,20180826190226,20180826190826,20180826190826
REPLEN,PUTAWAY,A2-138-R-276-2328-60,A6-175-R-1188-2772-60,Emp-1,20180826190353,20180826190853,20180826191253
PUTAWAY,REPLEN,A6-3-L-1188-360-0,A9-199-L-1872-3108-0,Emp-7,20180826190520,20180826190620,20180826191020
REPLEN,PUTAWAY,A6-146-R-1188-2424-0,A6-170-L-1188-2712-60,Emp-3,20180826190647,20180826190947,20180826191647
REPLEN,SLAMS DUNK,A3-154-R-504-2520-60,A8-166-L-1644-2664-36,Emp-3,20180826190814,20180826191614,20180826191814
REPLEN,SLOT CHANGE,A2-199-L-276-3108-84,A2-209-L-276-3276-0,Emp-3,20180826190941,20180826191441,20180826191641
REPLEN OVERFLOW,REPLEN,A6-19-R-1188-720-60,A9-122-L-1872-2124-84,Emp-5,20180826191108,20180826191208,20180826191908
REPLEN OVERFLOW,SLOT CHANGE,A6-13-R-1188-612-60,A11-3-R-2328-360-48,Emp-7,20180826191235,20180826191835,20180826191935
PUTAWAY,SLOT CHANGE,A6-90-L-1188-1692-0,A8-4-R-1644-408-60,Emp-6,20180826191402,20180826191902,20180826192402
REPLEN OVERFLOW,SLOT CHANGE,A1-37-R-48-984-0,A1-50-L-48-1152-60,Emp-8,20180826191529,20180826192229,20180826192029
PUTAWAY,PUTAWAY,A1-105-L-48-1896-0,A7-59-R-1416-1284-0,Emp-1,20180826191656,20180826192656,20180826192456
PUTAWAY,PUTAWAY,A11-40-R-2328-1020-48,A3-206-R-504-3216-48,Emp-4,20180826191823,20180826191923,20180826192523
PUTAWAY,REPLEN,A4-202-R-732-3156-0,A8-44-L-1644-1080-36,Emp-1,20180826191950,20180826192850,20180826192950
REPLEN,PUTAWAY,A10-79-L-2100-1548-84,A3-202-R-504-3156-48,Emp-3,20180826192117,20180826192917,20180826192917
REPLEN,SLOT CHANGE,A11-164-L-2328-2640-0,A4-57-L-732-1248-60,Emp-7,20180826192244,20180826192944,20180826192844
PUTAWAY,SLOT CHANGE,A1-75-L-48-1500-60,A1-96-L-48-1776-0,Emp-7,20180826192411,20180826192711,20180826193311
REPLEN,REPLEN,A2-153-R-276-2508-0,A2-17-L-276-684-60,Emp-4,20180826192538,20180826193338,20180826193138
REPLEN OVERFLOW,SLAMS DUNK,A5-58-L-960-1272-48,A10-117-R-2100-2052-0,Emp-6,20180826192705,20180826193705,20180826193405
PUTAWAY,SLOT CHANGE,A9-90-R-1872-1692-0,A4-142-R-732-2376-60,Emp-2,20180826192832,20180826193332,20180826193332
MOVE TO DOOR,PUTAWAY,A2-95-L-276-1764-0,DR-001,Emp-1,20180826192959,20180826193659,20180826193559
MOVE TO DOOR,SLOT CHANGE,A6-180-R-1188-2832-60,DR-001,Emp-2,20180826193126,20180826193326,20180826194026
PUTAWAY,SLOT CHANGE,A11-1-R-2328-300-48,A4-115-R-732-2028-0,Emp-10,20180826193253,20180826193853,20180826194253
PUTAWAY,SLAMS DUNK,A10-145-L-2100-2412-84,A5-18-R-960-696-0,Emp-9,20180826193420,20180826193920,20180826194420
RETURNS PUTAWAY,RETURNS PUTAWAY,A1-206-L-48-3216-0,A5-75-L-960-1500-0,Emp-10,20180826193547,20180826194147,20180826194347
PUTAWAY,SLOT CHANGE,A3-1-L-504-300-60,A7-4-L-1416-408-60,Emp-5,20180826193714,20180826194314,20180826194414
RETURNS PUTAWAY,RETURNS PUTAWAY,A2-117-L-276-2052-60,A11-159-L-2328-2580-0,Emp-1,20180826193841,20180826194241,20180826194641
RETURNS PUTAWAY,RETURNS PUTAWAY,A1-216-L-48-3384-48,A5-92-R-960-1728-0,Emp-9,20180826194008,20180826194908,20180826194908
REPLEN,SLAMS DUNK,A4-49-L-732-1140-0,A9-84-L-1872-1608-0,Emp-1,20180826194135,20180826194735,20180826195035
MOVE TO DOOR,SLAMS DUNK,A1-67-L-48-1380-0,DR-001,Emp-3,20180826194302,20180826194502,20180826195102
MOVE TO DOOR,PUTAWAY,A8-40-R-1644-1020-0,DR-001,Emp-2,20180826194429,20180826194729,20180826195029
PUTAWAY,SLAMS DUNK,A2-134-R-276-2280-60,A6-175-L-1188-2772-0,Emp-5,20180826194556,20180826194956,20180826195056
REPLEN,SLOT CHANGE,A5-164-R-960-2640-60,A10-33-L-2100-924-84,Emp-2,20180826194723,20180826195323,20180826195723
REPLEN OVERFLOW,REPLEN,A8-99-L-1644-1812-36,A9-86-R-1872-1632-48,Emp-10,20180826194850,20180826195250,20180826195550
MOVE TO DOOR,SLAMS DUNK,A9-9-R-1872-528-0,DR-001,Emp-7,20180826195017,20180826195217,20180826200017
REPLEN,SLOT CHANGE,A9-199-R-1872-3108-84,A1Y-L-1140-0-0,Emp-8,20180826195144,20180826195944,20180826195644
REPLEN,REPLEN,A2-213-R-276-3336-84,A7-34-R-1416-936-0,Emp-5,20180826195311,20180826195511,20180826200111
REPLEN,PUTAWAY,A8-23-R-1644-792-0,A1Y-L-1368-0-0,Emp-4,20180826195438,20180826195538,20180826195938
MOVE TO DOOR,REPLEN,A9-145-L-1872-2412-0,DR-001,Emp-9,20180826195605,20180826200405,20180826200405
REPLEN,REPLEN,A9-145-L-1872-2412-0,A2-125-R-276-2160-60,Emp-8,20180826195732,20180826200132,20180826200532
REPLEN,SLOT CHANGE,A1-145-L-48-2412-60,A8-56-L-1644-1236-36,Emp-10,20180826195859,20180826200059,20180826200859
REPLEN OVERFLOW,SLAMS DUNK,A7-97-L-1416-1788-60,A11-21-L-2328-756-60,Emp-6,20180826200026,20180826200226,20180826201026
REPLEN,PUTAWAY,A5-75-R-960-1500-60,A7-97-L-1416-1788-60,Emp-10,20180826200153,20180826201053,20180826200953
REPLEN OVERFLOW,SLAMS DUNK,A11-54-L-2328-1212-0,A2-148-L-276-2448-60,Emp-2,20180826200320,20180826201320,20180826200820
REPLEN OVERFLOW,REPLEN,A1Y-L-60-0-0,A3-33-L-504-924-0,Emp-1,20180826200447,20180826200547,20180826201147
REPLEN OVERFLOW,REPLEN,A5-140-R-960-2352-60,A5-33-L-960-924-0,Emp-7,20180826200614,20180826200814,20180826201414
PUTAWAY,PUTAWAY,A1Y-L-348-0-0,A4-1-L-732-300-60,Emp-9,20180826200741,20180826201441,20180826201741
RETURNS PUTAWAY,RETURNS PUTAWAY,A2-78-R-276-1536-0,A7-131-L-1416-2244-0,Emp-6,20180826200908,20180826201408,20180826201508
REPLEN OVERFLOW,SLAMS DUNK,A5-92-L-960-1728-0,A10-14-R-2100-624-84,Emp-8,20180826201035,20180826201135,20180826201735
PUTAWAY,SLOT CHANGE,A7-155-R-1416-2532-0,A1Y-L-1536-0-84,Emp-4,20180826201202,20180826201802,20180826202002
REPLEN,SLOT CHANGE,A2-104-L-276-1872-60,A2-125-L-276-2160-0,Emp-1,20180826201329,20180826201429,20180826201929
REPLEN,PUTAWAY,A2-206-L-276-3216-84,A2-216-L-276-3384-0,Emp-4,20180826201456,20180826202256,20180826202056
MOVE TO DOOR,SLAMS DUNK,A8-195-L-1644-3048-0,DR-001,Emp-7,20180826201623,20180826202323,20180826202223
REPLEN OVERFLOW,SLOT CHANGE,A11-1-L-2328-300-0,A9-79-L-1872-1548-84,Emp-1,20180826201750,20180826201850,20180826202450
REPLEN OVERFLOW,SLOT CHANGE,A2-138-R-276-2328-0,A3-84-R-504-1608-0,Emp-10,20180826201917,20180826202717,20180826202917
PUTAWAY,SLOT CHANGE,A8-23-R-1644-792-0,A11-23-R-2328-792-48,Emp-3,20180826202044,20180826202844,20180826202644
MOVE TO DOOR,SLOT CHANGE,A7-38-R-1416-996-0,DR-001,Emp-2,20180826202211,20180826202511,20180826202711
PUTAWAY,REPLEN,A1-159-L-48-2580-60,A3-113-R-504-2004-60,Emp-6,20180826202338,20180826203238,20180826202938
MOVE TO DOOR,SLAMS DUNK,A1-6-L-48-468-60,DR-001,Emp-6,20180826202505,20180826203005,20180826203405
REPLEN,SLAMS DUNK,A3-188-R-504-2928-0,A7-219-R-1416-3444-72,Emp-2,20180826202632,20180826203532,20180826203232
PUTAWAY,REPLEN,A7-174-R-1416-2760-60,A11-3-R-2328-360-0,Emp-7,20180826202759,20180826202859,20180826203359
REPLEN OVERFLOW,SLAMS DUNK,A4-104-L-732-1872-0,A4-93-R-732-1740-0,Emp-3,20180826202926,20180826203926,20180826203926
PUTAWAY,PUTAWAY,A8-143-L-1644-2388-0,A3-18-L-504-696-60,Emp-6,20180826203053,20180826203953,20180826203653
REPLEN,SLAMS DUNK,A9-92-L-1872-1728-0,A2-4-L-276-408-60,Emp-2,20180826203220,20180826204220,20180826204120
REPLEN,PUTAWAY,A3-195-R-504-3048-84,A5-54-L-960-1212-48,Emp-5,20180826203347,20180826204347,20180826204247
PUTAWAY,SLOT CHANGE,A5-45-R-960-1092-60,A6-3-L-1188-360-60,Emp-10,20180826203514,20180826203814,20180826204214
PUTAWAY,REPLEN,A8-147-L-1644-2436-36,A1-37-L-48-984-0,Emp-7,20180826203641,20180826204541,20180826204641
MOVE TO DOOR,PUTAWAY,A1-12-R-48-588-60,DR-001,Emp-10,20180826203808,20180826204508,20180826204708
PUTAWAY,SLAMS DUNK,A10-167-R-2100-2676-84,A2-83-R-276-1596-0,Emp-2,20180826203935,20180826204135,20180826204635
MOVE TO DOOR,SLOT CHANGE,A4-137-R-732-2316-0,DR-001,Emp-1,20180826204102,20180826205102,20180826205002
MOVE TO DOOR,SLAMS DUNK,A10-44-R-2100-1080-0,DR-001,Emp-7,20180826204229,20180826205129,20180826205129
REPLEN,SLOT CHANGE,A8-27-R-1644-852-60,A11-26-R-2328-840-48,Emp-1,20180826204356,20180826204556,20180826205256
MOVE TO DOOR,PUTAWAY,A7-1-R-1416-300-60,DR-001,Emp-2,20180826204523,20180826205323,20180826205423
PUTAWAY,PUTAWAY,A3-206-R-504-3216-84,A7-59-R-1416-1284-60,Emp-10,20180826204650,20180826204750,20180826205350
REPLEN OVERFLOW,PUTAWAY,A11-173-L-2328-2748-60,A4-70-L-732-1416-60,Emp-4,20180826204817,20180826204917,20180826205517
PUTAWAY,SLOT CHANGE,A3-195-L-504-3048-84,A1-54-R-48-1212-0,Emp-2,20180826204944,20180826205244,20180826205744
REPLEN OVERFLOW,SLOT CHANGE,A10-87-R-2100-1644-84,A5-71-R-960-1440-0,Emp-9,20180826205111,20180826205811,20180826210111
REPLEN OVERFLOW,SLAMS DUNK,A8-83-L-1644-1596-0,A9-88-L-1872-1668-0,Emp-2,20180826205238,20180826205838,20180826205938
PUTAWAY,REPLEN,A3-84-L-504-1608-0,A3-9-R-504-528-60,Emp-8,20180826205405,20180826210405,20180826210405
REPLEN,SLOT CHANGE,A1-168-R-48-2688-0,A4-219-R-732-3444-72,Emp-10,20180826205532,20180826205732,20180826210332
PUTAWAY,REPLEN,A8-219-L-1644-3444-0,A1Y-L-120-0-24,Emp-5,20180826205659,20180826210559,20180826210659
PUTAWAY,SLOT CHANGE,A1Y-L-1884-0-84,A7-195-L-1416-3048-84,Emp-7,20180826205826,20180826210126,20180826210726
RETURNS PUTAWAY,RETURNS PUTAWAY,A8-17-L-1644-684-36,A1-159-R-48-2580-60,Emp-7,20180826205953,20180826210953,20180826210853
REPLEN OVERFLOW,SLOT CHANGE,A1-41-R-48-1044-0,A6-199-L-1188-3108-60,Emp-5,20180826210120,20180826210320,20180826211020
REPLEN OVERFLOW,SLOT CHANGE,A8-219-R-1644-3444-72,A10-44-R-2100-1080-84,Emp-7,20180826210247,20180826210647,20180826210847
MOVE TO DOOR,SLOT CHANGE,A8-90-L-1644-1692-36,DR-001,Emp-1,20180826210414,20180826210914,20180826211014
REPLEN OVERFLOW,PUTAWAY,A3-96-L-504-1776-0,A8-153-R-1644-2508-60,Emp-8,20180826210541,20180826211541,20180826211341
RETURNS PUTAWAY,RETURNS PUTAWAY,A9-124-R-1872-2148-0,A2-108-L-276-1932-0,Emp-10,20180826210708,20180826211608,20180826211408
RETURNS PUTAWAY,RETURNS PUTAWAY,A4-52-R-732-1176-0,A6-42-R-1188-1056-0,Emp-9,20180826210835,20180826211335,20180826211735
REPLEN,SLAMS DUNK,A6-103-L-1188-1860-60,A1-6-R-48-468-0,Emp-8,20180826211002,20180826211402,20180826211602
MOVE TO DOOR,REPLEN,A1-54-R-48-1212-60,DR-001,Emp-10,20180826211129,20180826211529,20180826211929
RETURNS PUTAWAY,RETURNS PUTAWAY,A4-120-R-732-2088-0,A6-7-R-1188-504-0,Emp-3,20180826211256,20180826211756,20180826212256
MOVE TO DOOR,SLOT CHANGE,A10-138-R-2100-2328-0,DR-001,Emp-5,20180826211423,20180826211923,20180826212323
MOVE TO DOOR,SLAMS DUNK,A9-180-R-1872-2832-48,DR-001,Emp-8,20180826211550,20180826211950,20180826212550
PUTAWAY,SLAMS DUNK,A9-154-L-1872-2520-0,A2-138-L-276-2328-0,Emp-5,20180826211717,20180826212617,20180826212717
REPLEN,PUTAWAY,A9-154-L-1872-2520-0,A2-91-R-276-1704-0,Emp-7,20180826211844,20180826212844,20180826212444
REPLEN,PUTAWAY,A1Y-L-624-0-84,A9-195-L-1872-3048-84,Emp-3,20180826212011,20180826212611,20180826213011
MOVE TO DOOR,SLOT CHANGE,A8-209-R-1644-3276-0,DR-001,Emp-1,20180826212138,20180826212538,20180826213138
MOVE TO DOOR,PUTAWAY,A2-20-L-276-732-60,DR-001,Emp-5,20180826212305,20180826213205,20180826213005
PUTAWAY,REPLEN,A11-164-L-2328-2640-0,A1Y-L-2052-0-84,Emp-2,20180826212432,20180826213032,20180826213332
PUTAWAY,SLAMS DUNK,A5-105-R-960-1896-60,A10-27-R-2100-852-84,Emp-3,20180826212559,20180826212759,20180826213559
PUTAWAY,SLOT CHANGE,A5-6-R-960-468-60,A11-125-R-2328-2160-0,Emp-9,20180826212726,20180826212926,20180826213226
MOVE TO DOOR,REPLEN,A10-109-L-2100-1956-84,DR-001,Emp-2,20180826212853,20180826213753,20180826213853
REPLEN OVERFLOW,REPLEN,A8-199-R-1644-3108-0,A10-172-R-2100-2736-84,Emp-2,20180826213020,20180826213320,20180826213820
REPLEN,SLAMS DUNK,A1-145-L-48-2412-60,A9-165-R-1872-2652-48,Emp-10,20180826213147,20180826213747,20180826214147
MOVE TO DOOR,SLAMS DUNK,A2-191-R-276-2988-48,DR-001,Emp-2,20180826213314,20180826214114,20180826214114
REPLEN,REPLEN,A7-20-R-1416-732-0,A5-216-L-960-3384-24,Emp-4,20180826213441,20180826213941,20180826214241
PUTAWAY,REPLEN,A3-15-R-504-636-60,A7-20-R-1416-732-0,Emp-3,20180826213608,20180826213708,20180826214108
MOVE TO DOOR,SLAMS DUNK,A9-137-R-1872-2316-0,DR-001,Emp-6,20180826213735,20180826214535,20180826214735
REPLEN,REPLEN,A10-3-L-2100-360-0,A2-117-L-276-2052-0,Emp-4,20180826213902,20180826214902,20180826214502
REPLEN OVERFLOW,REPLEN,A3-41-R-504-1044-60,A3-58-R-504-1272-60,Emp-4,20180826214029,20180826215029,20180826215029
REPLEN OVERFLOW,PUTAWAY,A8-77-L-1644-1524-36,A7-209-R-1416-3276-84,Emp-7,20180826214156,20180826214756,20180826214756
MOVE TO DOOR,REPLEN,A7-122-L-1416-2124-0,DR-001,Emp-8,20180826214323,20180826215223,20180826215323
PUTAWAY,PUTAWAY,A5-135-R-960-2292-0,A6-199-L-1188-3108-60,Emp-6,20180826214450,20180826214550,20180826215050
RETURNS PUTAWAY,RETURNS PUTAWAY,A4-161-R-732-2604-0,A2-125-L-276-2160-60,Emp-5,20180826214617,20180826215117,20180826215617
REPLEN,SLOT CHANGE,A4-1-R-732-300-0,A5-199-R-960-3108-36,Emp-7,20180826214744,20180826215544,20180826215244
PUTAWAY,REPLEN,A11-100-R-2328-1824-48,A3-21-R-504-756-0,Emp-10,20180826214911,20180826215011,20180826215911
MOVE TO DOOR,SLAMS DUNK,A7-135-L-1416-2292-60,DR-001,Emp-3,20180826215038,20180826215838,20180826220038
PUTAWAY,REPLEN,A9-140-L-1872-2352-84,A9-161-R-1872-2604-48,Emp-6,20180826215205,20180826220105,20180826220105
REPLEN,PUTAWAY,A1-130-R-48-2232-60,A1-140-L-48-2352-60,Emp-5,20180826215332,20180826215432,20180826220332
PUTAWAY,REPLEN,A6-175-R-1188-2772-0,A9-50-L-1872-1152-84,Emp-1,20180826215459,20180826215659,20180826220359
REPLEN OVERFLOW,REPLEN,A3-88-R-504-1668-60,A4-107-R-732-1920-0,Emp-10,20180826215626,20180826215926,20180826220226
REPLEN,SLAMS DUNK,A9-73-R-1872-1464-48,A11-57-R-2328-1248-0,Emp-10,20180826215753,20180826220353,20180826220653
REPLEN OVERFLOW,PUTAWAY,A10-54-L-2100-1212-0,A3-18-R-504-696-60,Emp-6,20180826215920,20180826220020,20180826220520
MOVE TO DOOR,PUTAWAY,A2-57-L-276-1248-0,DR-001,Emp-1,20180826220047,20180826220247,20180826220647
MOVE TO DOOR,SLAMS DUNK,A9-47-R-1872-1116-0,DR-001,Emp-7,20180826220214,20180826220914,20180826221014
PUTAWAY,PUTAWAY,A5-199-R-960-3108-72,A8-134-L-1644-2280-0,Emp-8,20180826220341,20180826221241,20180826221041
REPLEN,REPLEN,A7-118-L-1416-2064-60,A7-136-R-1416-2304-60,Emp-8,20180826220508,20180826221208,20180826221408
REPLEN,PUTAWAY,A2-117-L-276-2052-0,A11-77-R-2328-1524-48,Emp-4,20180826220635,20180826220935,20180826221335
PUTAWAY,REPLEN,A1Y-L-1080-0-0,A4-108-L-732-1932-60,Emp-8,20180826220802,20180826221402,20180826221702
RETURNS PUTAWAY,RETURNS PUTAWAY,A4-8-L-732-516-60,A5-109-L-960-1956-0,Emp-3,20180826220929,20180826221129,20180826221629
PUTAWAY,SLOT CHANGE,A1-18-L-48-696-0,A3-184-R-504-2880-0,Emp-9,20180826221056,20180826221256,20180826221856
REPLEN OVERFLOW,SLOT CHANGE,A7-169-L-1416-2700-60,A4-137-R-732-2316-60,Emp-10,20180826221223,20180826221623,20180826222223
REPLEN OVERFLOW,PUTAWAY,A10-12-L-2100-588-84,A2-91-L-276-1704-0,Emp-6,20180826221350,20180826222250,20180826221950
REPLEN OVERFLOW,SLOT CHANGE,A2-195-L-276-3048-0,A8-61-L-1644-1308-36,Emp-4,20180826221517,20180826221817,20180826222117
PUTAWAY,REPLEN,A4-73-R-732-1464-0,A9-124-R-1872-2148-0,Emp-9,20180826221644,20180826222244,20180826222144
MOVE TO DOOR,REPLEN,A5-206-L-960-3216-36,DR-001,Emp-7,20180826221811,20180826222011,20180826222511
PUTAWAY,SLOT CHANGE,A8-104-L-1644-1872-0,A1-202-L-48-3156-48,Emp-3,20180826221938,20180826222938,20180826222738
REPLEN,REPLEN,A4-202-R-732-3156-72,A1Y-L-1428-0-60,Emp-9,20180826222105,20180826222705,20180826222805
REPLEN,PUTAWAY,A1Y-L-1032-0-0,A1Y-L-1308-0-84,Emp-3,20180826222232,20180826222532,20180826223232
PUTAWAY,REPLEN,A8-27-R-1644-852-0,A7-136-R-1416-2304-60,Emp-6,20180826222359,20180826222459,20180826223059
REPLEN OVERFLOW,REPLEN,A4-4-R-732-408-60,A5-4-L-960-408-48,Emp-8,20180826222526,20180826222726,20180826223226
REPLEN,PUTAWAY,A7-122-L-1416-2124-60,A5-122-L-960-2124-0,Emp-9,20180826222653,20180826222853,20180826223553
REPLEN OVERFLOW,SLAMS DUNK,A5-199-L-960-3108-0,A9-137-R-1872-2316-0,Emp-9,20180826222820,20180826223020,20180826223320
REPLEN OVERFLOW,SLOT CHANGE,A11-58-L-2328-1272-60,A11-66-R-2328-1368-0,Emp-8,20180826222947,20180826223347,20180826223747
REPLEN OVERFLOW,SLOT CHANGE,A1-195-R-48-3048-72,A6-107-L-1188-1920-0,Emp-9,20180826223114,20180826223314,20180826223614
REPLEN,REPLEN,A7-209-R-1416-3276-48,A4-199-R-732-3108-72,Emp-5,20180826223241,20180826223741,20180826224041
MOVE TO DOOR,PUTAWAY,A8-162-L-1644-2616-0,DR-001,Emp-10,20180826223408,20180826223608,20180826223908
